movieCd,movieNm,openDt,salesAmt,audiCnt,load_dt,multiMovieYn,repNationCd
20170003,소나기,2017-08-31,3260100,484,20170901,unknown,K
20173403,슈퍼배드 3,2017-07-26,4490500,757,20170901,unknown,F
20171962,킬러의 보디가드,2017-08-30,1020255300,116881,20170901,N,F
20170006,제인 도,2017-08-23,6145000,744,20170901,Y,unknown
20161081,애나벨 : 인형의 주인,2017-08-10,24408500,2777,20170901,N,F
20158047,발레리안: 천 개 행성의 도시,2017-08-30,403912241,46692,20170901,N,F
20179187,공범자들,2017-08-17,50200500,6108,20170901,Y,K
20163854,페니 핀처,2017-08-30,4257641,594,20170901,Y,unknown
20166132,김광석,2017-08-30,28063700,3378,20170901,Y,K
20162869,택시운전사,2017-08-02,393791700,48618,20170901,N,K
20170883,아키라,2017-08-31,10035100,1147,20170901,Y,F
20179901,혹성탈출: 종의 전쟁,2017-08-15,54176900,6537,20170901,N,F
20178762,파리로 가는 길,2017-08-03,10129100,1265,20170901,Y,F
20164174,브이아이피,2017-08-23,278548382,33664,20170901,N,K
20179491,아토믹 블론드,2017-08-30,151734559,18384,20170901,N,F
20151003,장산범,2017-08-17,131723118,15711,20170901,N,K
20179570,슈퍼오리 : 태양을 지켜라,2017-08-31,7507000,1079,20170901,Y,F
20162442,청년경찰,2017-08-09,465721800,56997,20170901,N,K
20165001,더 테이블,2017-08-24,31632800,3629,20170901,Y,K
20174801,내 사랑,2017-07-12,5028000,624,20170901,Y,unknown
20179407,로마의 휴일,2017-08-30,115094382,14784,20170901,N,K
20171923,저수지 게임,2017-09-07,18948000,2102,20170901,Y,K
20164621,덩케르크,2017-07-20,19698500,1321,20170901,unknown,F
20170003,소나기,2017-08-31,8911000,1337,20170902,Y,K
20178641,빅풋 주니어,2017-08-09,27455600,3639,20170902,unknown,F
20173403,슈퍼배드 3,2017-07-26,26213800,3394,20170902,unknown,F
20171164,"귀향, 끝나지 않은 이야기",2017-09-14,2424000,404,20170902,unknown,K
20171962,킬러의 보디가드,2017-08-30,1975734600,227264,20170902,N,F
20176983,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,18571500,2189,20170902,unknown,F
20170006,제인 도,2017-08-23,9892000,1191,20170902,Y,unknown
20161081,애나벨 : 인형의 주인,2017-08-10,49438700,5707,20170902,N,F
20158047,발레리안: 천 개 행성의 도시,2017-08-30,931941067,108271,20170902,N,F
20179187,공범자들,2017-08-17,97089000,11726,20170902,Y,K
20160703,"좋아해, 너를",2017-09-14,18610000,1862,20170902,Y,F
20166132,김광석,2017-08-30,46745900,5524,20170902,Y,K
20162869,택시운전사,2017-08-02,827171300,98741,20170902,N,K
20170883,아키라,2017-08-31,13958600,1619,20170902,Y,unknown
20179901,혹성탈출: 종의 전쟁,2017-08-15,113718000,13597,20170902,N,F
20178762,파리로 가는 길,2017-08-03,14207300,1705,20170902,Y,unknown
20164174,브이아이피,2017-08-23,467332794,55358,20170902,N,K
20179491,아토믹 블론드,2017-08-30,214988333,25640,20170902,N,F
20151003,장산범,2017-08-17,278999206,33804,20170902,N,K
20179570,슈퍼오리 : 태양을 지켜라,2017-08-31,54997000,7469,20170902,Y,F
20162442,청년경찰,2017-08-09,1014777100,121617,20170902,N,K
20165001,더 테이블,2017-08-24,47162300,5432,20170902,Y,K
20174801,내 사랑,2017-07-12,8524400,1045,20170902,Y,unknown
20179407,로마의 휴일,2017-08-30,192370194,23751,20170902,N,K
20170003,소나기,2017-08-31,8918000,1291,20170903,Y,K
20178641,빅풋 주니어,2017-08-09,34444700,4435,20170903,N,F
20173403,슈퍼배드 3,2017-07-26,29169200,3697,20170903,unknown,F
20171164,"귀향, 끝나지 않은 이야기",2017-09-14,2292000,382,20170903,unknown,K
20171962,킬러의 보디가드,2017-08-30,1848465100,211918,20170903,N,F
20170006,제인 도,2017-08-23,7186500,879,20170903,Y,unknown
20161081,애나벨 : 인형의 주인,2017-08-10,33744600,3888,20170903,unknown,F
20158047,발레리안: 천 개 행성의 도시,2017-08-30,803811600,94528,20170903,N,F
20179187,공범자들,2017-08-17,88021700,10765,20170903,Y,K
20160703,"좋아해, 너를",2017-09-14,6840000,684,20170903,Y,unknown
20166132,김광석,2017-08-30,43562300,5188,20170903,Y,K
20162869,택시운전사,2017-08-02,759307500,90659,20170903,N,K
20170883,아키라,2017-08-31,11171500,1317,20170903,Y,unknown
20179901,혹성탈출: 종의 전쟁,2017-08-15,102194900,12154,20170903,N,F
20178762,파리로 가는 길,2017-08-03,11141500,1381,20170903,Y,F
20164174,브이아이피,2017-08-23,393193500,46508,20170903,N,K
20179491,아토믹 블론드,2017-08-30,191408800,22783,20170903,N,F
20151003,장산범,2017-08-17,216309200,26107,20170903,N,K
20179570,슈퍼오리 : 태양을 지켜라,2017-08-31,47678900,6314,20170903,Y,F
20162442,청년경찰,2017-08-09,895449800,107474,20170903,N,K
20165001,더 테이블,2017-08-24,43194200,5040,20170903,Y,K
20174801,내 사랑,2017-07-12,7869000,982,20170903,Y,unknown
20179407,로마의 휴일,2017-08-30,188272700,23080,20170903,N,K
20164621,덩케르크,2017-07-20,23713400,1666,20170903,unknown,F
20154909,살인자의 기억법,2017-09-06,18688000,2336,20170904,N,K
20170003,소나기,2017-08-31,2219000,367,20170904,Y,unknown
20171962,킬러의 보디가드,2017-08-30,569316600,71847,20170904,N,F
20170006,제인 도,2017-08-23,3648500,502,20170904,Y,F
20161081,애나벨 : 인형의 주인,2017-08-10,9985800,1253,20170904,unknown,F
