movieCd,movieNm,openDt,salesAmt,audiCnt,load_dt,multiMovieYn,repNationCd
20167829,마차 타고 고래고래,2017-05-18,4437000,546,20170501,Y,K
20161726,임금님의 사건수첩,2017-04-26,1162464800,158053,20170501,N,K
20172641,마리안느와 마가렛,2017-04-20,6309600,964,20170501,Y,K
20162181,프리즌,2017-03-23,1533000,212,20170501,unknown,K
20172541,오두막,2017-04-20,17456100,2480,20170501,Y,F
20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,97432200,13727,20170501,N,K
20151227,아빠는 딸,2017-04-12,53412500,7570,20170501,N,K
20172125,파운더,2017-04-20,7642000,1057,20170501,Y,unknown
20165843,"나의 사랑, 그리스",2017-04-20,10565900,1396,20170501,Y,unknown
20174561,더 플랜,2017-04-20,6671100,957,20170501,Y,K
20060264,악마는 프라다를 입는다,2006-10-25,11880000,1499,20170501,N,F
20162871,특별시민,2017-04-26,1100381300,149835,20170501,N,K
20164829,나는 부정한다,2017-04-26,18950500,2583,20170501,Y,F
20167363,히든 피겨스,2017-03-23,17284000,2284,20170501,N,F
20172161,댄서,2017-04-13,12002000,1585,20170501,Y,F
20175142,극장판 쿠로코의 농구 라스트 게임,2017-04-27,10449000,1436,20170501,unknown,F
20161665,스머프: 비밀의 숲,2017-04-28,283685000,41692,20170501,N,F
20149317,가디언즈 오브 갤럭시,2014-07-31,19103900,2153,20170501,N,F
20164721,미녀와 야수,2017-03-16,96551700,13249,20170501,N,F
20173881,런던 프라이드,2017-04-27,6487100,880,20170501,Y,unknown
20173301,"서서평, 천천히 평온하게",2017-04-26,47282900,6683,20170501,Y,K
19790004,12인의 하숙생,1979-01-16,302000,159,20170501,unknown,K
20167542,분노의 질주: 더 익스트림,2017-04-12,794300600,106836,20170501,N,F
20161726,임금님의 사건수첩,2017-04-26,746988900,102367,20170502,N,K
20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1240607700,148071,20170502,N,F
20164844,불한당: 나쁜 놈들의 세상,2017-05-17,11740000,1549,20170502,N,K
20172641,마리안느와 마가렛,2017-04-20,6899600,1135,20170502,Y,K
20173061,슈퍼 빼꼼: 스파이 대작전,2017-05-03,9256000,1157,20170502,unknown,K
20172541,오두막,2017-04-20,10572300,1477,20170502,Y,F
20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,26019500,3656,20170502,N,K
20151227,아빠는 딸,2017-04-12,40737900,5963,20170502,N,K
20172125,파운더,2017-04-20,7409200,1090,20170502,Y,F
20165843,"나의 사랑, 그리스",2017-04-20,6826900,907,20170502,Y,unknown
20174561,더 플랜,2017-04-20,5102200,733,20170502,Y,K
19880213,그대품에 다시한번,1988-11-26,850000,425,20170502,Y,unknown
20162871,특별시민,2017-04-26,599428500,82119,20170502,N,K
20162722,보안관,2017-05-03,42213000,5028,20170502,N,K
20164829,나는 부정한다,2017-04-26,11182000,1542,20170502,Y,F
20167363,히든 피겨스,2017-03-23,7075000,960,20170502,unknown,F
20172161,댄서,2017-04-13,8400800,1100,20170502,Y,F
20175142,극장판 쿠로코의 농구 라스트 게임,2017-04-27,9715500,1349,20170502,unknown,F
20161665,스머프: 비밀의 숲,2017-04-28,151245900,23224,20170502,N,F
20164721,미녀와 야수,2017-03-16,61908300,8490,20170502,N,F
20173881,런던 프라이드,2017-04-27,3763100,537,20170502,Y,unknown
20173301,"서서평, 천천히 평온하게",2017-04-26,35569300,5134,20170502,Y,K
20167542,분노의 질주: 더 익스트림,2017-04-12,465023500,63166,20170502,N,F
20163185,언노운 걸,2017-05-03,22362400,2672,20170503,Y,F
20101406,여자의 일생, ,288000,144,20170503,unknown,K
20161726,임금님의 사건수첩,2017-04-26,1050917600,128812,20170503,N,K
20174501,오즈의 마법사 2,2017-05-03,54821600,7009,20170503,Y,F
20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,3708346100,422412,20170503,N,F
20172641,마리안느와 마가렛,2017-04-20,1928000,286,20170503,unknown,K
